Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
modDyeRgb_64_38_38,item_modifiers,mod,,,7Dyes[tm] Dye: 000-040-025 ,,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 ,7Dyes[tm] Dye: 000-040-025 
modDyeRgb_128_77_77,item_modifiers,mod,,,7Dyes[tm] Dye: 000-040-050 ,,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 ,7Dyes[tm] Dye: 000-040-050 
modDyeRgb_191_115_115,item_modifiers,mod,,,7Dyes[tm] Dye: 000-040-075 ,,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 ,7Dyes[tm] Dye: 000-040-075 
modDyeRgb_255_154_154,item_modifiers,mod,,,7Dyes[tm] Dye: 000-040-100 ,,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 ,7Dyes[tm] Dye: 000-040-100 
modDyeRgb_64_24_24,item_modifiers,mod,,,7Dyes[tm] Dye: 000-063-025 ,,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 ,7Dyes[tm] Dye: 000-063-025 
modDyeRgb_128_47_47,item_modifiers,mod,,,7Dyes[tm] Dye: 000-063-050 ,,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 ,7Dyes[tm] Dye: 000-063-050 
modDyeRgb_191_71_71,item_modifiers,mod,,,7Dyes[tm] Dye: 000-063-075 ,,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 ,7Dyes[tm] Dye: 000-063-075 
modDyeRgb_255_94_94,item_modifiers,mod,,,7Dyes[tm] Dye: 000-063-100 ,,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 ,7Dyes[tm] Dye: 000-063-100 
modDyeRgb_64_11_11,item_modifiers,mod,,,7Dyes[tm] Dye: 000-083-025 ,,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 ,7Dyes[tm] Dye: 000-083-025 
modDyeRgb_128_22_22,item_modifiers,mod,,,7Dyes[tm] Dye: 000-083-050 ,,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 ,7Dyes[tm] Dye: 000-083-050 
modDyeRgb_191_33_33,item_modifiers,mod,,,7Dyes[tm] Dye: 000-083-075 ,,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 ,7Dyes[tm] Dye: 000-083-075 
modDyeRgb_255_45_45,item_modifiers,mod,,,7Dyes[tm] Dye: 000-083-100 ,,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 ,7Dyes[tm] Dye: 000-083-100 
modDyeRgb_64_0_0,item_modifiers,mod,,,7Dyes[tm] Dye: 000-100-025 ,,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 ,7Dyes[tm] Dye: 000-100-025 
